strategy,category,after_experience,stream_acc,stream_forgetting
Replay,replay,0,0.218,0.0
Replay,replay,1,0.406,0.0
Replay,replay,2,0.614,0.0
Replay,replay,3,0.802,0.0
Replay,replay,4,0.996,0.004807692307692318
GEM,replay,0,0.218,0.0
GEM,replay,1,0.406,0.0
GEM,replay,2,0.614,0.0
GEM,replay,3,0.802,0.0
GEM,replay,4,0.994,0.006880733944954115
A-GEM,replay,0,0.218,0.0
A-GEM,replay,1,0.302,0.47706422018348627
A-GEM,replay,2,0.38,0.5425531914893618
A-GEM,replay,3,0.248,0.9038461538461539
A-GEM,replay,4,0.35,0.7983837970540099
GDumb,replay,0,0.218,0.0
GDumb,replay,1,0.406,0.0
GDumb,replay,2,0.614,0.0
GDumb,replay,3,0.802,0.0
GDumb,replay,4,1.0,0.0
ER-ACE,replay,0,0.218,0.0
ER-ACE,replay,1,0.406,0.0
ER-ACE,replay,2,0.614,0.0
ER-ACE,replay,3,0.802,0.0
ER-ACE,replay,4,1.0,0.0
